level_1,0706111100102100100111154001100301100111111100
level_2,0706111111100001101401103501102501100001111111
level_3,0609001111000111001111100000301101001301102021401111111111
level_4,0608111111111000000110255341100000011111100100001111
level_5,070801111111010000010102320111034301100232011000000111111111
level_6,0612111111011111100001110001103300000141103012220001100011111111111110000000
level_7,080711111111000001102320110323011023201103230110040011111111
level_8,1208001111110010224100103301001101110001010000010100111101001000011010100010100010101110001000111110
level_9,0706111110120011143301110001011001001121000111
level_10,08110000001111100000012001000000121011111111210110403030301101010101111000000010011111111100
level_11,0809001111110001000010001011411111010301102210301100000001100111111111100000
level_12,0809111110000100011000103001000110301111011142001001002101001000001001111111
level_13,0907111100012011001240100120310011301110103001010000101001110111100
level_14,0607111111110000011010101120354110001111111100
level_15,0709000001110111111411100002501100010001111113101000010001000011111
level_16,081001111000000100111100010000011011011000101202104311100010330110021000011111111111
level_17,0706111110104010122210133311100001100001111111
level_18,0907111111110000011202001101101110030101113010001401000100100011110
level_19,08081111111110002201100433011111101100010010000100100001001000011110
level_20,0809111111100100000111100433221111101101001000001001001111001001000001111000
level_21,0607111100010011111020201103314111000010111111
level_22,0907111110010001111202001100010111010010143301010000101001110111100
level_23,07071111111100500110000011101011013421001000100111110
level_24,07071011111001000111133411000111100000110202011111111
level_25,07070111100010011101033011122201100430110001111111100
level_26,0806011111010401010001111301102221103301111001001111
level_27,07071111110100021010110111003341101000112001111111100
level_28,07071111100100010010401001033111112020101000010111111
level_29,0911000001111100000010001100000100001011111100011100000120110303040011101111112101000000001011111111110
level_30,0706111100100111103301122201104301100011111110
level_31,07070011110011001011432111033001102020111100010011111
level_32,07070111100110011110000011255341100011111001000111100
level_33,07071111111120100110030011203141100300112010011111111
level_34,0609001111000111001111100000001143555201100000001111111111
level_35,10070011110011001001203100123010012301001230100120311010004101100010011111
level_36,0515111100000000000100111111111111103030303030401102222200000001111111111111111
level_37,0809000000111111110121100011121100030121103003001111114101000010001000011111
level_38,07101111111111100000000110112111011010330201102043110111111000010000111111
level_39,0910111110000010001111001010102100100003011111101320011000140001101011111110001000001111100000
level_40,0607011111001000101100011103330110262011111111
level_41,0608111111101000001014333011100122211100001101111110
